ANO_1,ID_REGIAO,REGIAO,ID_MUNICIPIO,MUNICIPIO,ANO,MES,GR_NATUREZA,QT_VITIMAS
2024,3,Interior,290682,Canudos,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290687,Capim Grosso,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290690,Caravelas,2024,3,HOMICIDIO DOLOSO,6
2023,3,Interior,290710,Carinhanha,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290720,Casa Nova,2023,3,HOMICIDIO DOLOSO,2
2024,3,Interior,290720,Casa Nova,2024,3,HOMICIDIO DOLOSO,5
2024,3,Interior,290750,Catu,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290755,Caturama,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290780,Cicero Dantas,2024,3,HOMICIDIO DOLOSO,5
2023,3,Interior,290790,Cipo,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290800,Coaraci,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290810,Cocos,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290820,Conceiçao da Feira,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290830,Conceiçao do Almeida,2023,3,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2023,3,Interior,290830,Conceiçao do Almeida,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290840,Conceiçao do Coite,2023,3,HOMICIDIO DOLOSO,3
2024,3,Interior,290860,Conde,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290920,Coronel Joao Sa,2024,3,HOMICIDIO DOLOSO,3
2023,3,Interior,290920,Coronel Joao Sa,2023,3,FEMINICIDIO,1
2023,3,Interior,290930,Correntina,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290940,Cotegipe,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290960,Crisopolis,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290980,Cruz das Almas,2023,3,HOMICIDIO DOLOSO,2
2024,3,Interior,290980,Cruz das Almas,2024,3,HOMICIDIO DOLOSO,2
2023,3,Interior,290990,Curaça,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,291000,Dario Meira,2024,3,HOMICIDIO DOLOSO,1
2023,2,RMS,291005,Dias D Avila,2023,3,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2024,2,RMS,291005,Dias D Avila,2024,3,HOMICIDIO DOLOSO,5
2023,2,RMS,291005,Dias D Avila,2023,3,HOMICIDIO DOLOSO,11
2023,3,Interior,291040,Encruzilhada,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,291050,Entre Rios,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,291060,Esplanada,2024,3,HOMICIDIO DOLOSO,2
2023,3,Interior,291060,Esplanada,2023,3,HOMICIDIO DOLOSO,2
2024,3,Interior,291070,Euclides da Cunha,2024,3,HOMICIDIO DOLOSO,2
2023,3,Interior,291072,Eunapolis,2023,3,HOMICIDIO DOLOSO,7
